Date,Team1,Team2,Map,Event
4/12/19,North (8),ATK (16),"vtg
                      Vertigo",ESL Pro League Season 10 Finals
4/12/19,ATK (16),North (9),"ovp
                      Overpass",ESL Pro League Season 10 Finals
4/12/19,iNTACT (12),Faint (16),"vtg
                      Vertigo",ESEA Advanced Season 32 North America
4/12/19,Faint (13),iNTACT (16),"inf
                      Inferno",ESEA Advanced Season 32 North America
4/12/19,iNTACT (10),Faint (16),"nuke
                      Nuke",ESEA Advanced Season 32 North America
4/12/19,Recon 5 (16),Thunder Logic (12),"mrg
                      Mirage",ESEA Advanced Season 32 North America
4/12/19,Recon 5 (16),Thunder Logic (10),"nuke
                      Nuke",ESEA Advanced Season 32 North America
4/12/19,Thunder Logic (16),Recon 5 (12),"trn
                      Train",ESEA Advanced Season 32 North America
3/12/19,Defusekids (8),Wisla Krakow (16),"inf
                      Inferno",ESEA MDL Season 32 Europe Climber Cup
3/12/19,Wisla Krakow (16),Defusekids (9),"mrg
                      Mirage",ESEA MDL Season 32 Europe Climber Cup
3/12/19,AGO (16),ENRAGE (9),"nuke
                      Nuke",WESG 2019 East Europe Closed Qualifier
3/12/19,AGO (16),ENRAGE (10),"mrg
                      Mirage",WESG 2019 East Europe Closed Qualifier
3/12/19,FATE (16),Endpoint (12),"vtg
                      Vertigo",ESEA MDL Season 32 Europe Climber Cup
3/12/19,Endpoint (10),FATE (16),"ovp
                      Overpass",ESEA MDL Season 32 Europe Climber Cup
3/12/19,FATE (12),Endpoint (16),"d2
                      Dust2",ESEA MDL Season 32 Europe Climber Cup
3/12/19,Heroic (13),fnatic (16),"ovp
                      Overpass",ESL Pro League Season 10 Finals
3/12/19,fnatic (16),Heroic (13),"vtg
                      Vertigo",ESL Pro League Season 10 Finals
3/12/19,Heroic (16),fnatic (9),"inf
                      Inferno",ESL Pro League Season 10 Finals
3/12/19,100 Thieves (10),Evil Geniuses (16),"nuke
                      Nuke",ESL Pro League Season 10 Finals
3/12/19,Evil Geniuses (16),100 Thieves (8),"mrg
                      Mirage",ESL Pro League Season 10 Finals
3/12/19,Liquid (16),North (12),"vtg
                      Vertigo",ESL Pro League Season 10 Finals
3/12/19,Wisla Krakow (16),HSL (12),"trn
                      Train",ESEA MDL Season 32 Europe Climber Cup
3/12/19,Wisla Krakow (16),HSL (6),"inf
                      Inferno",ESEA MDL Season 32 Europe Climber Cup
3/12/19,HSL (16),Wisla Krakow (8),"d2
                      Dust2",ESEA MDL Season 32 Europe Climber Cup
3/12/19,Defusekids (25),OFFSET (23),"d2
                      Dust2",ESEA MDL Season 32 Europe Climber Cup
3/12/19,Defusekids (10),OFFSET (16),"inf
                      Inferno",ESEA MDL Season 32 Europe Climber Cup
3/12/19,OFFSET (10),Defusekids (16),"trn
                      Train",ESEA MDL Season 32 Europe Climber Cup
3/12/19,Tenerife Titans (6),Endpoint (16),"d2
                      Dust2",ESEA MDL Season 32 Europe Climber Cup
3/12/19,Endpoint (16),Tenerife Titans (14),"vtg
                      Vertigo",ESEA MDL Season 32 Europe Climber Cup
3/12/19,Sangal (9),FATE (16),"ovp
                      Overpass",ESEA MDL Season 32 Europe Climber Cup
3/12/19,FATE (16),Sangal (5),"inf
                      Inferno",ESEA MDL Season 32 Europe Climber Cup
3/12/19,Finest (12),Yalla (16),"inf
                      Inferno",WESG 2019 West Asia
3/12/19,Yalla (16),Finest (8),"d2
                      Dust2",WESG 2019 West Asia
3/12/19,FaZe (16),TYLOO (7),"mrg
                      Mirage",ESL Pro League Season 10 Finals
3/12/19,TYLOO (5),FaZe (16),"d2
                      Dust2",ESL Pro League Season 10 Finals
3/12/19,FaZe (7),TYLOO (16),"inf
                      Inferno",ESL Pro League Season 10 Finals
3/12/19,MIBR (4),Natus Vincere (16),"d2
                      Dust2",ESL Pro League Season 10 Finals
3/12/19,Natus Vincere (16),MIBR (9),"trn
                      Train",ESL Pro League Season 10 Finals
3/12/19,ATK (9),mousesports (16),"nuke
                      Nuke",ESL Pro League Season 10 Finals
3/12/19,Sprout (16),ARCY (19),"d2
                      Dust2",United Masters League Season 2
3/12/19,ARCY (19),Sprout (17),"trn
                      Train",United Masters League Season 2
3/12/19,Renegades (8),Astralis (16),"inf
                      Inferno",ESL Pro League Season 10 Finals
3/12/19,G2 (16),Sharks (13),"inf
                      Inferno",ESL Pro League Season 10 Finals
3/12/19,Evil Geniuses (16),fnatic (3),"mrg
                      Mirage",ESL Pro League Season 10 Finals
3/12/19,Heroic (8),100 Thieves (16),"vtg
                      Vertigo",ESL Pro League Season 10 Finals
3/12/19,FaZe (12),MIBR (16),"mrg
                      Mirage",ESL Pro League Season 10 Finals
3/12/19,Natus Vincere (16),TYLOO (6),"d2
                      Dust2",ESL Pro League Season 10 Finals
3/12/19,Global (16),Gaming Hub (8),"d2
                      Dust2",WESG 2019 South Asia
3/12/19,Global (10),Gaming Hub (16),"mrg
                      Mirage",WESG 2019 South Asia
3/12/19,Gaming Hub (11),Global (16),"trn
                      Train",WESG 2019 South Asia
3/12/19,SYF (16),unfortunate circumstances  (11),"mrg
                      Mirage",IEM Katowice 2020 Oceania Open Qualifier #1
3/12/19,SYF (16),unfortunate circumstances  (8),"ovp
                      Overpass",IEM Katowice 2020 Oceania Open Qualifier #1
3/12/19,PC419 (13),Ground Zero (16),"inf
                      Inferno",IEM Katowice 2020 Oceania Open Qualifier #1
3/12/19,Ground Zero (16),PC419 (8),"d2
                      Dust2",IEM Katowice 2020 Oceania Open Qualifier #1
3/12/19,UP (7),Falkol (16),"vtg
                      Vertigo",ESEA Open Season 32 Brazil
3/12/19,UP (12),Falkol (16),"d2
                      Dust2",ESEA Open Season 32 Brazil
2/12/19,RUFUS (16),Falkol (7),"trn
                      Train",ESL Brazil Premier League Season 11
2/12/19,RUFUS (16),Falkol (7),"inf
                      Inferno",ESL Brazil Premier League Season 11
2/12/19,Falkol (16),RUFUS (8),"ovp
                      Overpass",ESL Brazil Premier League Season 11
2/12/19,Yalla (16),FIREMIX (3),"d2
                      Dust2",WESG 2019 West Asia
2/12/19,FIREMIX (16),Yalla (9),"mrg
                      Mirage",WESG 2019 West Asia
2/12/19,FIREMIX (8),Yalla (16),"inf
                      Inferno",WESG 2019 West Asia
2/12/19,ARCY (16),AGO (12),"trn
                      Train",WESG 2019 East Europe Closed Qualifier
2/12/19,AGO (9),ARCY (16),"vtg
                      Vertigo",WESG 2019 East Europe Closed Qualifier
2/12/19,AGO (16),ARCY (4),"nuke
                      Nuke",WESG 2019 East Europe Closed Qualifier
2/12/19,Ambush (17),ALTERNATE aTTaX (19),"trn
                      Train",ESEA Advanced Season 32 Europe
2/12/19,ALTERNATE aTTaX (16),Ambush (14),"inf
                      Inferno",ESEA Advanced Season 32 Europe
2/12/19,Lyngby Vikings (14),AGF (16),"d2
                      Dust2",ESEA Advanced Season 32 Europe
2/12/19,AGF (12),Lyngby Vikings (16),"inf
                      Inferno",ESEA Advanced Season 32 Europe
2/12/19,Lyngby Vikings (5),AGF (16),"nuke
                      Nuke",ESEA Advanced Season 32 Europe
2/12/19,Unicorns of Love (6),Nordavind (16),"inf
                      Inferno",ESEA Advanced Season 32 Europe
2/12/19,Nordavind (16),Unicorns of Love (4),"nuke
                      Nuke",ESEA Advanced Season 32 Europe
2/12/19,PACT (16),Izako Boars (12),"vtg
                      Vertigo",LOOT.BET Season 5
2/12/19,PACT (16),Izako Boars (11),"mrg
                      Mirage",LOOT.BET Season 5
2/12/19,Finest (11),og3od (16),"mrg
                      Mirage",WESG 2019 West Asia
2/12/19,og3od (7),Finest (16),"d2
                      Dust2",WESG 2019 West Asia
2/12/19,Finest (14),og3od (16),"vtg
                      Vertigo",WESG 2019 West Asia
2/12/19,Copenhagen Flames (19),GamerLegion (16),"ovp
                      Overpass",United Masters League Season 2
2/12/19,GamerLegion (11),Copenhagen Flames (16),"nuke
                      Nuke",United Masters League Season 2
2/12/19,Ancient (12),HAVU (16),"d2
                      Dust2",United Masters League Season 2
2/12/19,HAVU (16),Ancient (4),"trn
                      Train",United Masters League Season 2
2/12/19,Ancient (16),HAVU (14),"ovp
                      Overpass",United Masters League Season 2
2/12/19,Gaming Hub (10),BL4ZE (16),"inf
                      Inferno",WESG 2019 South Asia
2/12/19,Gaming Hub (12),BL4ZE (16),"trn
                      Train",WESG 2019 South Asia
2/12/19,BL4ZE (6),Gaming Hub (16),"nuke
                      Nuke",WESG 2019 South Asia
2/12/19,Entity (12),Global (16),"inf
                      Inferno",WESG 2019 South Asia
2/12/19,Entity (7),Global (16),"d2
                      Dust2",WESG 2019 South Asia
1/12/19,Liquid (8),Astralis (16),"d2
                      Dust2",ECS Season 8 Finals
1/12/19,Liquid (11),Astralis (16),"nuke
                      Nuke",ECS Season 8 Finals
1/12/19,Liquid (19),Astralis (15),"vtg
                      Vertigo",ECS Season 8 Finals
1/12/19,Dirty Peek Petes (14),FACEIT Level Tenz (16),"mrg
                      Mirage",Showmatch CS:GO
1/12/19,Yalla (17),Finest (19),"mrg
                      Mirage",WESG 2019 West Asia
1/12/19,Finest (16),Yalla (13),"d2
                      Dust2",WESG 2019 West Asia
1/12/19,CYBERLIFE (10),gothboiclique (16),"mrg
                      Mirage",CyberLife Finals
1/12/19,CYBERLIFE (11),gothboiclique (16),"ovp
                      Overpass",CyberLife Finals
1/12/19,VodkaJuniors (9),OFFSET (16),"nuke
                      Nuke",ESL Masters CS:GO Season 6 Finals
1/12/19,VodkaJuniors (16),OFFSET (14),"inf
                      Inferno",ESL Masters CS:GO Season 6 Finals
1/12/19,OFFSET (16),VodkaJuniors (6),"ovp
                      Overpass",ESL Masters CS:GO Season 6 Finals
1/12/19,Illuminar (16),AGO (6),"mrg
                      Mirage",ESL Polish Championship Autumn 2019 Finals
1/12/19,AGO (16),Illuminar (6),"trn
                      Train",ESL Polish Championship Autumn 2019 Finals
1/12/19,Illuminar (16),AGO (12),"vtg
                      Vertigo",ESL Polish Championship Autumn 2019 Finals
1/12/19,LSU (16),UTA (7),"mrg
                      Mirage",Showmatch CS:GO
1/12/19,Tricked (9),forZe (16),"trn
                      Train",DreamHack Open Winter 2019
1/12/19,forZe (14),Tricked (16),"vtg
                      Vertigo",DreamHack Open Winter 2019
1/12/19,Tricked (11),forZe (16),"inf
                      Inferno",DreamHack Open Winter 2019
1/12/19,FIREMIX (11),og3od (16),"ovp
                      Overpass",WESG 2019 West Asia
1/12/19,FIREMIX (16),og3od (8),"trn
                      Train",WESG 2019 West Asia
1/12/19,FIREMIX (14),og3od (16),"mrg
                      Mirage",WESG 2019 West Asia
1/12/19,Gucci Squad (16),Bring Me The Horizon (6),"d2
                      Dust2",Esports Championship Ukraine
1/12/19,Gucci Squad (16),Bring Me The Horizon (12),"inf
                      Inferno",Esports Championship Ukraine
1/12/19,VodkaJuniors (16),eXploit (9),"trn
                      Train",ESL Masters CS:GO Season 6 Finals
1/12/19,VodkaJuniors (16),eXploit (11),"inf
                      Inferno",ESL Masters CS:GO Season 6 Finals
1/12/19,eXploit (16),VodkaJuniors (13),"mrg
                      Mirage",ESL Masters CS:GO Season 6 Finals
1/12/19,CR4ZY (6),Tricked (16),"vtg
                      Vertigo",DreamHack Open Winter 2019
1/12/19,Tricked (16),CR4ZY (7),"d2
                      Dust2",DreamHack Open Winter 2019
1/12/19,OFFSET (16),Wild (9),"nuke
                      Nuke",ESL Masters CS:GO Season 6 Finals
1/12/19,Wild (4),OFFSET (16),"inf
                      Inferno",ESL Masters CS:GO Season 6 Finals
1/12/19,Gaming Hub (16),Global (10),"d2
                      Dust2",WESG 2019 South Asia
1/12/19,Global (11),Gaming Hub (16),"mrg
                      Mirage",WESG 2019 South Asia
1/12/19,Ground Zero (16),MC (14),"nuke
                      Nuke",WESG 2019 APAC Oceania Qualifier
1/12/19,MC (16),Ground Zero (9),"ovp
                      Overpass",WESG 2019 APAC Oceania Qualifier
1/12/19,Ground Zero (16),MC (8),"inf
                      Inferno",WESG 2019 APAC Oceania Qualifier
1/12/19,forZe (16),GODSENT (13),"nuke
                      Nuke",DreamHack Open Winter 2019
1/12/19,forZe (7),GODSENT (16),"d2
                      Dust2",DreamHack Open Winter 2019
1/12/19,GODSENT (12),forZe (16),"inf
                      Inferno",DreamHack Open Winter 2019
1/12/19,BL4ZE (16),Entity (14),"d2
                      Dust2",WESG 2019 South Asia
1/12/19,Entity (9),BL4ZE (16),"nuke
                      Nuke",WESG 2019 South Asia
1/12/19,fnatic (10),Liquid (16),"mrg
                      Mirage",ECS Season 8 Finals
1/12/19,Liquid (16),fnatic (6),"inf
                      Inferno",ECS Season 8 Finals
1/12/19,fnatic (16),Liquid (6),"ovp
                      Overpass",ECS Season 8 Finals
30/11/19,Wisla Krakow (9),Illuminar (16),"trn
                      Train",ESL Polish Championship Autumn 2019 Finals
30/11/19,Illuminar (6),Wisla Krakow (16),"inf
                      Inferno",ESL Polish Championship Autumn 2019 Finals
30/11/19,Wisla Krakow (12),Illuminar (16),"ovp
                      Overpass",ESL Polish Championship Autumn 2019 Finals
30/11/19,CR4ZY (16),SJ (2),"nuke
                      Nuke",DreamHack Open Winter 2019
30/11/19,SJ (2),CR4ZY (16),"d2
                      Dust2",DreamHack Open Winter 2019
30/11/19,Evil Geniuses (6),Astralis (16),"ovp
                      Overpass",ECS Season 8 Finals
30/11/19,Astralis (13),Evil Geniuses (16),"nuke
                      Nuke",ECS Season 8 Finals
30/11/19,Evil Geniuses (8),Astralis (16),"inf
                      Inferno",ECS Season 8 Finals
30/11/19,ARCY (14),AGO (16),"d2
                      Dust2",ESL Polish Championship Autumn 2019 Finals
30/11/19,AGO (10),ARCY (16),"nuke
                      Nuke",ESL Polish Championship Autumn 2019 Finals
30/11/19,ARCY (13),AGO (16),"vtg
                      Vertigo",ESL Polish Championship Autumn 2019 Finals
30/11/19,Game Fist (6),Tenerife Titans (16),"inf
                      Inferno",ESL Proximus Championship Winter 2019
30/11/19,Tenerife Titans (25),Game Fist (21),"mrg
                      Mirage",ESL Proximus Championship Winter 2019
30/11/19,forZe (16),FURIA (7),"mrg
                      Mirage",DreamHack Open Winter 2019
30/11/19,forZe (19),FURIA (17),"nuke
                      Nuke",DreamHack Open Winter 2019
30/11/19,FURIA (16),forZe (14),"inf
                      Inferno",DreamHack Open Winter 2019
30/11/19,Tenerife Titans (16),Vanguard (10),"trn
                      Train",ESL Proximus Championship Winter 2019
30/11/19,Vanguard (11),Tenerife Titans (16),"inf
                      Inferno",ESL Proximus Championship Winter 2019
30/11/19,SponsorUS (10),Bren (16),"ovp
                      Overpass",NVIDIA Geforce Cup Pacific Phillipines
30/11/19,Bren (16),SponsorUS (1),"nuke
                      Nuke",NVIDIA Geforce Cup Pacific Phillipines
30/11/19,CR4ZY (16),Heroic (13),"trn
                      Train",DreamHack Open Winter 2019
30/11/19,Heroic (12),CR4ZY (16),"d2
                      Dust2",DreamHack Open Winter 2019
30/11/19,CR4ZY (3),Heroic (16),"vtg
                      Vertigo",DreamHack Open Winter 2019
30/11/19,Plan A (8),ikarus (16),"ovp
                      Overpass",WESG 2019 Korea
30/11/19,ikarus (16),Plan A (8),"nuke
                      Nuke",WESG 2019 Korea
30/11/19,Plan A (16),ikarus (9),"mrg
                      Mirage",WESG 2019 Korea
30/11/19,Game Fist (16),Sector One (10),"ovp
                      Overpass",ESL Proximus Championship Winter 2019
30/11/19,Game Fist (16),Sector One (12),"nuke
                      Nuke",ESL Proximus Championship Winter 2019
30/11/19,Sector One (16),Game Fist (11),"mrg
                      Mirage",ESL Proximus Championship Winter 2019
30/11/19,Fallen5 (4),SponsorUS (16),"ovp
                      Overpass",NVIDIA Geforce Cup Pacific Phillipines
30/11/19,Fallen5 (9),SponsorUS (16),"mrg
                      Mirage",NVIDIA Geforce Cup Pacific Phillipines
30/11/19,Bren (16),Station-751 (11),"ovp
                      Overpass",NVIDIA Geforce Cup Pacific Phillipines
30/11/19,Bren (16),Station-751 (2),"trn
                      Train",NVIDIA Geforce Cup Pacific Phillipines
30/11/19,Marskalk (12),forZe (16),"nuke
                      Nuke",DreamHack Open Winter 2019
30/11/19,forZe (16),Marskalk (4),"trn
                      Train",DreamHack Open Winter 2019
30/11/19,MIBR (13),fnatic (16),"inf
                      Inferno",ECS Season 8 Finals
30/11/19,fnatic (16),MIBR (9),"vtg
                      Vertigo",ECS Season 8 Finals
29/11/19,NiP (12),Evil Geniuses (16),"inf
                      Inferno",ECS Season 8 Finals
29/11/19,NiP (14),Evil Geniuses (16),"nuke
                      Nuke",ECS Season 8 Finals
29/11/19,NiP (16),Evil Geniuses (11),"trn
                      Train",ECS Season 8 Finals
29/11/19,Giants (16),Yalla (9),"nuke
                      Nuke",United Masters League Season 2
29/11/19,Yalla (7),Giants (16),"d2
                      Dust2",United Masters League Season 2
29/11/19,GODSENT (16),SJ (11),"nuke
                      Nuke",DreamHack Open Winter 2019
29/11/19,MIBR (16),Sharks (7),"trn
                      Train",ECS Season 8 Finals
29/11/19,Sharks (13),MIBR (16),"vtg
                      Vertigo",ECS Season 8 Finals
29/11/19,AGF (14),ALTERNATE aTTaX (16),"inf
                      Inferno",ESEA Advanced Season 32 Europe
29/11/19,ALTERNATE aTTaX (16),AGF (3),"d2
                      Dust2",ESEA Advanced Season 32 Europe
29/11/19,Tricked (16),FURIA (14),"ovp
                      Overpass",DreamHack Open Winter 2019
29/11/19,CR4ZY (7),GODSENT (16),"d2
                      Dust2",DreamHack Open Winter 2019
29/11/19,NiP (16),AVANGAR (6),"ovp
                      Overpass",ECS Season 8 Finals
29/11/19,AVANGAR (12),NiP (16),"trn
                      Train",ECS Season 8 Finals
29/11/19,Unique (4),HellRaisers (16),"mrg
                      Mirage",LOOT.BET Season 5
29/11/19,HellRaisers (16),Unique (6),"vtg
                      Vertigo",LOOT.BET Season 5
29/11/19,HellRaisers (13),Unique (16),"nuke
                      Nuke",LOOT.BET Season 5
29/11/19,GamerLegion (19),Ambush (17),"inf
                      Inferno",WESG 2019 North Europe Closed Qualifier
29/11/19,GamerLegion (16),Ambush (5),"nuke
                      Nuke",WESG 2019 North Europe Closed Qualifier
29/11/19,Ambush (16),GamerLegion (13),"ovp
                      Overpass",WESG 2019 North Europe Closed Qualifier
29/11/19,forZe (10),Tricked (16),"ovp
                      Overpass",DreamHack Open Winter 2019
29/11/19,Heroic (13),SJ (16),"nuke
                      Nuke",DreamHack Open Winter 2019
29/11/19,Nordavind (7),HAVU (16),"nuke
                      Nuke",LOOT.BET Season 5
29/11/19,HAVU (16),Nordavind (8),"d2
                      Dust2",LOOT.BET Season 5
29/11/19,Nordavind (19),HAVU (16),"ovp
                      Overpass",LOOT.BET Season 5
29/11/19,Marskalk (10),FURIA (16),"nuke
                      Nuke",DreamHack Open Winter 2019
29/11/19,fnatic (14),Astralis (16),"inf
                      Inferno",ECS Season 8 Finals
29/11/19,fnatic (6),Astralis (16),"nuke
                      Nuke",ECS Season 8 Finals
29/11/19,RUFUS (16),Santos (12),"trn
                      Train",Gamers Club Masters IV Qualifier
29/11/19,Santos (13),RUFUS (16),"nuke
                      Nuke",Gamers Club Masters IV Qualifier
28/11/19,Liquid (16),Evil Geniuses (14),"d2
                      Dust2",ECS Season 8 Finals
28/11/19,Liquid (16),Evil Geniuses (4),"inf
                      Inferno",ECS Season 8 Finals
28/11/19,RUFUS (16),Falkol (2),"vtg
                      Vertigo",Gamers Club Masters IV Qualifier
28/11/19,RUFUS (16),Falkol (12),"d2
                      Dust2",Gamers Club Masters IV Qualifier
28/11/19,fnatic (16),MIBR (9),"inf
                      Inferno",ECS Season 8 Finals
28/11/19,Lyngby Vikings (9),Ambush (16),"mrg
                      Mirage",ESEA Advanced Season 32 Europe
28/11/19,Ambush (16),Lyngby Vikings (14),"nuke
                      Nuke",ESEA Advanced Season 32 Europe
28/11/19,Astralis (19),Sharks (15),"nuke
                      Nuke",ECS Season 8 Finals
28/11/19,Ratatatata (8),Viva Algeria (16),"ovp
                      Overpass",WESG 2019 Africa Closed Qualifier
28/11/19,Viva Algeria (16),Ratatatata (11),"inf
                      Inferno",WESG 2019 Africa Closed Qualifier
28/11/19,Ratatatata (19),Viva Algeria (17),"mrg
                      Mirage",WESG 2019 Africa Closed Qualifier
28/11/19,ex-Windigo (15),Espada (19),"trn
                      Train",SECTOR: MOSTBET
28/11/19,ex-Windigo (19),Espada (17),"d2
                      Dust2",SECTOR: MOSTBET
28/11/19,Espada (19),ex-Windigo (17),"ovp
                      Overpass",SECTOR: MOSTBET
28/11/19,maquinas (16),HUKKA (13),"mrg
                      Mirage",WESG 2019 North Europe Closed Qualifier
28/11/19,maquinas (16),HUKKA (9),"nuke
                      Nuke",WESG 2019 North Europe Closed Qualifier
28/11/19,Liquid (16),NiP (4),"mrg
                      Mirage",ECS Season 8 Finals
28/11/19,Evil Geniuses (16),AVANGAR (10),"d2
                      Dust2",ECS Season 8 Finals
28/11/19,Copenhagen Flames (16),HAVU (6),"ovp
                      Overpass",WESG 2019 North Europe Closed Qualifier
28/11/19,Copenhagen Flames (17),HAVU (19),"trn
                      Train",WESG 2019 North Europe Closed Qualifier
28/11/19,HAVU (14),Copenhagen Flames (16),"nuke
                      Nuke",WESG 2019 North Europe Closed Qualifier
28/11/19,2115 (16),pro100 (10),"ovp
                      Overpass",LOOT.BET Season 5
28/11/19,2115 (16),pro100 (13),"mrg
                      Mirage",LOOT.BET Season 5
28/11/19,OneThree (3),TYLOO (16),"trn
                      Train",Champions Cup China Qualifer by JJB
28/11/19,TYLOO (16),OneThree (14),"inf
                      Inferno",Champions Cup China Qualifer by JJB
28/11/19,BTRG (16),R-Stars (10),"trn
                      Train",NEST Pro: Asia Qualifier
28/11/19,R-Stars (16),BTRG (11),"d2
                      Dust2",NEST Pro: Asia Qualifier
28/11/19,R-Stars (9),BTRG (16),"mrg
                      Mirage",NEST Pro: Asia Qualifier
28/11/19,SKADE (8),Illuminar (16),"nuke
                      Nuke",WESG 2019 East Europe Closed Qualifier
28/11/19,SKADE (6),Illuminar (16),"mrg
                      Mirage",WESG 2019 East Europe Closed Qualifier
28/11/19,Lynn Vision (5),OneThree (16),"nuke
                      Nuke",Champions Cup China Qualifer by JJB
28/11/19,Lynn Vision (13),OneThree (16),"d2
                      Dust2",Champions Cup China Qualifer by JJB
28/11/19,Lucid Dream (9),TYLOO (16),"inf
                      Inferno",NEST Pro: Asia Qualifier
28/11/19,TYLOO (16),Lucid Dream (11),"mrg
                      Mirage",NEST Pro: Asia Qualifier
28/11/19,TYLOO (16),R-Stars (4),"inf
                      Inferno",Champions Cup China Qualifer by JJB
28/11/19,TYLOO (19),R-Stars (15),"d2
                      Dust2",Champions Cup China Qualifer by JJB
28/11/19,R-Stars (16),TYLOO (10),"trn
                      Train",Champions Cup China Qualifer by JJB
28/11/19,W7M (16),Santos (2),"mrg
                      Mirage",Gamers Club Masters IV Qualifier
28/11/19,W7M (16),Santos (1),"inf
                      Inferno",Gamers Club Masters IV Qualifier
28/11/19,Santos (16),W7M (12),"trn
                      Train",Gamers Club Masters IV Qualifier
28/11/19,3xTeam (8),UP (16),"trn
                      Train",ESEA Open Season 32 Brazil
28/11/19,UP (16),3xTeam (14),"nuke
                      Nuke",ESEA Open Season 32 Brazil
27/11/19,Alma (12),RUFUS (16),"ovp
                      Overpass",Gamers Club Masters IV Qualifier
27/11/19,RUFUS (16),Alma (6),"inf
                      Inferno",Gamers Club Masters IV Qualifier
27/11/19,Soberano (14),Falkol (16),"mrg
                      Mirage",Gamers Club Masters IV Qualifier
27/11/19,Soberano (16),Falkol (11),"trn
                      Train",Gamers Club Masters IV Qualifier
27/11/19,Falkol (16),Soberano (10),"inf
                      Inferno",Gamers Club Masters IV Qualifier
27/11/19,Virtus.pro (16),Wisla Krakow (12),"nuke
                      Nuke",WESG 2019 East Europe Closed Qualifier
27/11/19,Virtus.pro (14),Wisla Krakow (16),"trn
                      Train",WESG 2019 East Europe Closed Qualifier
27/11/19,Virtus.pro (16),Wisla Krakow (14),"mrg
                      Mirage",WESG 2019 East Europe Closed Qualifier
27/11/19,Viboras (12),Ratatatata (16),"mrg
                      Mirage",WESG 2019 Africa Closed Qualifier
27/11/19,Ratatatata (16),Viboras (10),"inf
                      Inferno",WESG 2019 Africa Closed Qualifier
27/11/19,Ratatatata (8),Viboras (16),"vtg
                      Vertigo",WESG 2019 Africa Closed Qualifier
27/11/19,Wisla Krakow (16),Winstrike (14),"inf
                      Inferno",LOOT.BET Season 5
27/11/19,Wisla Krakow (16),Winstrike (13),"ovp
                      Overpass",LOOT.BET Season 5
27/11/19,Gamedock (4),Big 5 (16),"inf
                      Inferno",ESEA Open Season 32 South Africa
27/11/19,Big 5 (16),Gamedock (2),"mrg
                      Mirage",ESEA Open Season 32 South Africa
27/11/19,North (16),maquinas (14),"mrg
                      Mirage",WESG 2019 North Europe Closed Qualifier
27/11/19,maquinas (16),North (19),"ovp
                      Overpass",WESG 2019 North Europe Closed Qualifier
27/11/19,Nemiga (16),Project X (10),"nuke
                      Nuke",WESG 2019 CIS Closed Qualifier
27/11/19,Nemiga (16),Project X (12),"ovp
                      Overpass",WESG 2019 CIS Closed Qualifier
27/11/19,Aristocracy (16),Copenhagen Flames (7),"nuke
                      Nuke",Qi Banja Luka 2019 Europe Qualifier
27/11/19,Copenhagen Flames (13),Aristocracy (16),"trn
                      Train",Qi Banja Luka 2019 Europe Qualifier
27/11/19,ENRAGE (16),Pompa (9),"mrg
                      Mirage",WESG 2019 East Europe Closed Qualifier
27/11/19,Pompa (10),ENRAGE (16),"vtg
                      Vertigo",WESG 2019 East Europe Closed Qualifier
27/11/19,Izako Boars (14),Nordavind (16),"ovp
                      Overpass",LOOT.BET Season 5
27/11/19,Nordavind (16),Izako Boars (2),"mrg
                      Mirage",LOOT.BET Season 5
27/11/19,SJ (13),Copenhagen Flames (16),"nuke
                      Nuke",Qi Banja Luka 2019 Europe Qualifier
27/11/19,Copenhagen Flames (16),SJ (13),"inf
                      Inferno",Qi Banja Luka 2019 Europe Qualifier
27/11/19,NAVI Junior (14),Nemiga (16),"mrg
                      Mirage",WESG 2019 CIS Closed Qualifier
27/11/19,NAVI Junior (16),Nemiga (5),"vtg
                      Vertigo",WESG 2019 CIS Closed Qualifier
27/11/19,NAVI Junior (8),Nemiga (16),"inf
                      Inferno",WESG 2019 CIS Closed Qualifier
27/11/19,Dracarys (8),Espada (16),"mrg
                      Mirage",CIS Rising League Season 3
27/11/19,Dracarys (2),Espada (16),"d2
                      Dust2",CIS Rising League Season 3
27/11/19,Espada (16),Dracarys (8),"nuke
                      Nuke",CIS Rising League Season 3
27/11/19,GamerLegion (16),Giants (5),"d2
                      Dust2",United Masters League Season 2
27/11/19,GamerLegion (16),Giants (3),"ovp
                      Overpass",United Masters League Season 2
27/11/19,GamerLegion (10),Giants (16),"nuke
                      Nuke",United Masters League Season 2
27/11/19,Aristocracy (16),SKADE (8),"mrg
                      Mirage",Qi Banja Luka 2019 Europe Qualifier
27/11/19,SKADE (17),Aristocracy (19),"nuke
                      Nuke",Qi Banja Luka 2019 Europe Qualifier
27/11/19,Nemiga (16),HellRaisers (10),"inf
                      Inferno",WESG 2019 CIS Closed Qualifier
27/11/19,Nemiga (16),HellRaisers (10),"ovp
                      Overpass",WESG 2019 CIS Closed Qualifier
27/11/19,Invictus (11),OneThree (16),"trn
                      Train",Champions Cup China Qualifer by JJB
27/11/19,Invictus (6),OneThree (16),"ovp
                      Overpass",Champions Cup China Qualifer by JJB
27/11/19,R-Stars (16),Lynn Vision (13),"mrg
                      Mirage",NEST Pro: Asia Qualifier
27/11/19,R-Stars (14),Lynn Vision (16),"d2
                      Dust2",NEST Pro: Asia Qualifier
27/11/19,Lynn Vision (11),R-Stars (16),"inf
                      Inferno",NEST Pro: Asia Qualifier
