"","date","team1","team2","map","event"
"2469","1/9/19","eSuba (12)","Brute (16)","mrg
                      Mirage","Tiger Masters Season 5 Qualifier 2"
"2470","1/9/19","wrAth (16)","hős utca peek (10)","trn
                      Train","Infinity Coliseum LAN 53"
"2471","1/9/19","hős utca peek (10)","wrAth (16)","inf
                      Inferno","Infinity Coliseum LAN 53"
"2472","1/9/19","Vcore Knights (8)","Area51 (16)","ovp
                      Overpass","961 Gamers CS:GO Nationals"
"2473","1/9/19","Area51 (16)","Vcore Knights (7)","trn
                      Train","961 Gamers CS:GO Nationals"
"2474","1/9/19","Maple (16)","Lucid Dream (7)","inf
                      Inferno","NEX Invitational 2019"
"2475","1/9/19","Lucid Dream (10)","Maple (16)","mrg
                      Mirage","NEX Invitational 2019"
"2476","1/9/19","G2 (9)","Renegades (16)","inf
                      Inferno","StarLadder Major Berlin 2019"
"2477","1/9/19","Renegades (11)","G2 (16)","d2
                      Dust2","StarLadder Major Berlin 2019"
"2478","1/9/19","Renegades (16)","G2 (11)","vtg
                      Vertigo","StarLadder Major Berlin 2019"
"2479","1/9/19","BOOT (16)","5POWER (12)","d2
                      Dust2","NEX Invitational 2019"
"2480","1/9/19","5POWER (6)","BOOT (16)","nuke
                      Nuke","NEX Invitational 2019"
"2481","1/9/19","The Foxes (13)","A Point (16)","inf
                      Inferno","WESG 2019 Cambodia Regional Finals"
"2482","1/9/19","The Foxes (14)","A Point (16)","ovp
                      Overpass","WESG 2019 Cambodia Regional Finals"
"2483","1/9/19","A Point (11)","The Foxes (16)","d2
                      Dust2","WESG 2019 Cambodia Regional Finals"
"2484","1/9/19","need more DM (17)","hős utca peek (19)","d2
                      Dust2","Infinity Coliseum LAN 53"
"2485","1/9/19","Warzone (12)","Italy (16)","ovp
                      Overpass","961 Gamers CS:GO Nationals"
"2486","1/9/19","Warzone (11)","Italy (16)","mrg
                      Mirage","961 Gamers CS:GO Nationals"
"2487","1/9/19","wrAth (8)","FURY (16)","d2
                      Dust2","Infinity Coliseum LAN 53"
"2488","1/9/19","wrAth (11)","FURY (16)","nuke
                      Nuke","Infinity Coliseum LAN 53"
"2489","1/9/19","BOOT (8)","Maple (16)","mrg
                      Mirage","NEX Invitational 2019"
"2490","1/9/19","Maple (16)","BOOT (9)","d2
                      Dust2","NEX Invitational 2019"
"2491","1/9/19","5POWER (11)","Lucid Dream (16)","trn
                      Train","NEX Invitational 2019"
"2492","1/9/19","Lucid Dream (16)","5POWER (5)","inf
                      Inferno","NEX Invitational 2019"
"2493","1/9/19","5POWER (19)","Lucid Dream (17)","mrg
                      Mirage","NEX Invitational 2019"
"2494","1/9/19","YeakSa (5)","A Point (16)","ovp
                      Overpass","WESG 2019 Cambodia Regional Finals"
"2495","1/9/19","A Point (16)","YeakSa (2)","nuke
                      Nuke","WESG 2019 Cambodia Regional Finals"
"2496","31/8/19","AVEZ (11)","adwokacik (16)","trn
                      Train","V4 Future Sports Festival 2019 Poland Finals"
"2497","31/8/19","eSuba (9)","eXtatus (16)","ovp
                      Overpass","Tiger Masters Season 5 Qualifier 2"
"2498","31/8/19","eXtatus (16)","eSuba (19)","inf
                      Inferno","Tiger Masters Season 5 Qualifier 2"
"2499","31/8/19","eSuba (3)","eXtatus (16)","mrg
                      Mirage","Tiger Masters Season 5 Qualifier 2"
"2500","31/8/19","North (6)","Liquid (16)","d2
                      Dust2","StarLadder Major Berlin 2019"
"2501","31/8/19","North (12)","Liquid (16)","mrg
                      Mirage","StarLadder Major Berlin 2019"
"2502","31/8/19","CR4ZY (5)","Astralis (16)","vtg
                      Vertigo","StarLadder Major Berlin 2019"
"2503","31/8/19","CR4ZY (31)","Astralis (29)","d2
                      Dust2","StarLadder Major Berlin 2019"
"2504","31/8/19","CR4ZY (11)","Astralis (16)","inf
                      Inferno","StarLadder Major Berlin 2019"
"2505","31/8/19","AVEZ (16)","PACT (11)","ovp
                      Overpass","V4 Future Sports Festival 2019 Poland Finals"
"2506","31/8/19","PACT (14)","AVEZ (16)","nuke
                      Nuke","V4 Future Sports Festival 2019 Poland Finals"
"2507","31/8/19","PACT (16)","AVEZ (6)","inf
                      Inferno","V4 Future Sports Festival 2019 Poland Finals"
"2508","31/8/19","mousesports (10)","Vitality (16)","mrg
                      Mirage","StarLadder Major Berlin 2019"
"2509","31/8/19","Vitality (16)","mousesports (5)","vtg
                      Vertigo","StarLadder Major Berlin 2019"
"2510","31/8/19","Gaming Hub (16)","Legion (13)","mrg
                      Mirage","Dew Gamers Arena 2019"
"2511","31/8/19","Legion (9)","Gaming Hub (16)","inf
                      Inferno","Dew Gamers Arena 2019"
"2512","31/8/19","Gaming Hub (5)","Legion (16)","nuke
                      Nuke","Dew Gamers Arena 2019"
"2513","31/8/19","FaZe (14)","Renegades (16)","vtg
                      Vertigo","StarLadder Major Berlin 2019"
"2514","31/8/19","Renegades (3)","FaZe (16)","nuke
                      Nuke","StarLadder Major Berlin 2019"
"2515","31/8/19","FaZe (19)","Renegades (22)","mrg
                      Mirage","StarLadder Major Berlin 2019"
"2516","31/8/19","Brute (13)","Moops (16)","ovp
                      Overpass","Tiger Masters Season 5 Qualifier 2"
"2517","31/8/19","Moops (16)","Brute (9)","mrg
                      Mirage","Tiger Masters Season 5 Qualifier 2"
"2518","31/8/19","Moops (9)","Brute (16)","d2
                      Dust2","Tiger Masters Season 5 Qualifier 2"
"2519","31/8/19","PACT (16)","Capri Sun (13)","trn
                      Train","V4 Future Sports Festival 2019 Poland Finals"
"2520","31/8/19","PACT (16)","Capri Sun (7)","d2
                      Dust2","V4 Future Sports Festival 2019 Poland Finals"
"2521","31/8/19","PACT (4)","Capri Sun (16)","inf
                      Inferno","V4 Future Sports Festival 2019 Poland Finals"
"2522","31/8/19","Fallen5 (3)","Bren (16)","nuke
                      Nuke","Thunder Esports Tour"
"2523","31/8/19","Bren (16)","Fallen5 (14)","inf
                      Inferno","Thunder Esports Tour"
"2524","31/8/19","Maple (16)","Revolution (5)","inf
                      Inferno","NEX Invitational 2019"
"2525","31/8/19","Revolution (3)","Maple (16)","ovp
                      Overpass","NEX Invitational 2019"
"2526","31/8/19","MIBR (4)","Natus Vincere (16)","inf
                      Inferno","StarLadder Major Berlin 2019"
"2527","31/8/19","Natus Vincere (16)","MIBR (11)","mrg
                      Mirage","StarLadder Major Berlin 2019"
"2528","31/8/19","AVANGAR (16)","G2 (9)","ovp
                      Overpass","StarLadder Major Berlin 2019"
"2529","31/8/19","G2 (11)","AVANGAR (16)","inf
                      Inferno","StarLadder Major Berlin 2019"
"2530","31/8/19","G2 (16)","AVANGAR (9)","d2
                      Dust2","StarLadder Major Berlin 2019"
"2531","31/8/19","The Foxes (16)","Bl1nK8 (11)","d2
                      Dust2","WESG 2019 Cambodia Regional Finals"
"2532","31/8/19","Bl1nK8 (11)","The Foxes (16)","trn
                      Train","WESG 2019 Cambodia Regional Finals"
"2533","31/8/19","5POWER (16)","Alpha Red (7)","ovp
                      Overpass","NEX Invitational 2019"
"2534","31/8/19","Alpha Red (4)","5POWER (16)","inf
                      Inferno","NEX Invitational 2019"
"2535","31/8/19","Maple (16)","Beyond (14)","inf
                      Inferno","NEX Invitational 2019"
"2536","31/8/19","Beyond (12)","Maple (16)","mrg
                      Mirage","NEX Invitational 2019"
"2537","31/8/19","Alpha Red (16)","Paradise (3)","mrg
                      Mirage","NEX Invitational 2019"
"2538","31/8/19","Paradise (5)","Alpha Red (16)","vtg
                      Vertigo","NEX Invitational 2019"
"2539","31/8/19","Agressive (16)","WClick (10)","mrg
                      Mirage","Aorus League 2019 #3 Southern Cone"
"2540","31/8/19","Furious (16)","9z (14)","ovp
                      Overpass","Aorus League 2019 #3 Southern Cone"
"2541","30/8/19","North (16)","NiP (4)","d2
                      Dust2","StarLadder Major Berlin 2019"
"2542","30/8/19","NiP (8)","North (16)","trn
                      Train","StarLadder Major Berlin 2019"
"2543","30/8/19","NRG (16)","Astralis (4)","nuke
                      Nuke","StarLadder Major Berlin 2019"
"2544","30/8/19","Astralis (28)","NRG (31)","trn
                      Train","StarLadder Major Berlin 2019"
"2545","30/8/19","AVEZ (10)","adwokacik (16)","d2
                      Dust2","V4 Future Sports Festival 2019 Poland Finals"
"2546","30/8/19","adwokacik (16)","AVEZ (10)","mrg
                      Mirage","V4 Future Sports Festival 2019 Poland Finals"
"2547","30/8/19","AVEZ (16)","adwokacik (10)","trn
                      Train","V4 Future Sports Festival 2019 Poland Finals"
"2548","30/8/19","Renegades (16)","DreamEaters (8)","trn
                      Train","StarLadder Major Berlin 2019"
"2549","30/8/19","DreamEaters (10)","Renegades (16)","mrg
                      Mirage","StarLadder Major Berlin 2019"
"2550","30/8/19","ENCE (16)","Vitality (7)","d2
                      Dust2","StarLadder Major Berlin 2019"
"2551","30/8/19","Vitality (10)","ENCE (16)","nuke
                      Nuke","StarLadder Major Berlin 2019"
"2552","30/8/19","FaZe (9)","CR4ZY (16)","mrg
                      Mirage","StarLadder Major Berlin 2019"
"2553","30/8/19","Lucid Dream (16)","Revolution (12)","mrg
                      Mirage","NEX Invitational 2019"
"2554","30/8/19","MIBR (4)","G2 (16)","inf
                      Inferno","StarLadder Major Berlin 2019"
"2555","30/8/19","5POWER (12)","BOOT (16)","d2
                      Dust2","NEX Invitational 2019"
"2556","30/8/19","Maple (3)","Lucid Dream (16)","mrg
                      Mirage","NEX Invitational 2019"
"2557","30/8/19","AVANGAR (22)","Liquid (18)","ovp
                      Overpass","StarLadder Major Berlin 2019"
"2558","30/8/19","Natus Vincere (17)","mousesports (19)","nuke
                      Nuke","StarLadder Major Berlin 2019"
"2559","30/8/19","Alpha Red (6)","5POWER (16)","mrg
                      Mirage","NEX Invitational 2019"
"2560","30/8/19","Revolution (16)","Beyond (14)","inf
                      Inferno","NEX Invitational 2019"
"2561","30/8/19","Paradise (2)","BOOT (16)","trn
                      Train","NEX Invitational 2019"
"2562","30/8/19","Maple (16)","Legend (2)","trn
                      Train","NEX Invitational 2019 Thailand Finals"
"2563","30/8/19","Legend (1)","Maple (16)","ovp
                      Overpass","NEX Invitational 2019 Thailand Finals"
"2564","30/8/19","Astro (8)","Lucid Dream (16)","inf
                      Inferno","NEX Invitational 2019 Thailand Finals"
"2565","30/8/19","Astro (7)","Lucid Dream (16)","vtg
                      Vertigo","NEX Invitational 2019 Thailand Finals"
"2566","30/8/19","Lucid Dream (11)","Astro (16)","d2
                      Dust2","NEX Invitational 2019 Thailand Finals"
"2567","30/8/19","gloryUS (16)","Los gurises (10)","mrg
                      Mirage","Aorus League 2019 #3 Southern Cone"
"2568","30/8/19","Malvinas (16)","Sinisters (13)","d2
                      Dust2","Aorus League 2019 #3 Southern Cone"
"2569","29/8/19","Astralis (16)","G2 (7)","nuke
                      Nuke","StarLadder Major Berlin 2019"
"2570","29/8/19","MIBR (8)","ENCE (16)","inf
                      Inferno","StarLadder Major Berlin 2019"
"2571","29/8/19","Vitality (16)","FaZe (7)","d2
                      Dust2","StarLadder Major Berlin 2019"
"2572","29/8/19","Liquid (9)","NRG (16)","d2
                      Dust2","StarLadder Major Berlin 2019"
"2573","29/8/19","North (13)","mousesports (16)","inf
                      Inferno","StarLadder Major Berlin 2019"
"2574","29/8/19","NiP (10)","CR4ZY (16)","trn
                      Train","StarLadder Major Berlin 2019"
"2575","29/8/19","TRIDENT (9)","Genuine (16)","inf
                      Inferno","LPL Pro League Season 3"
"2576","29/8/19","TRIDENT (14)","Genuine (16)","trn
                      Train","LPL Pro League Season 3"
"2577","29/8/19","Genuine (14)","TRIDENT (16)","mrg
                      Mirage","LPL Pro League Season 3"
"2578","29/8/19","Natus Vincere (16)","DreamEaters (7)","ovp
                      Overpass","StarLadder Major Berlin 2019"
"2579","29/8/19","Renegades (13)","AVANGAR (16)","vtg
                      Vertigo","StarLadder Major Berlin 2019"
"2580","29/8/19","Paradox (19)","Ground Zero (17)","nuke
                      Nuke","LPL Pro League Season 3"
"2581","29/8/19","Ground Zero (13)","Paradox (16)","inf
                      Inferno","LPL Pro League Season 3"
"2582","29/8/19","gloryUS (8)","Sinisters (16)","d2
                      Dust2","Aorus League 2019 #3 Southern Cone"
"2583","29/8/19","Malvinas (16)","Los gurises (1)","d2
                      Dust2","Aorus League 2019 #3 Southern Cone"
"2584","28/8/19","MIBR (16)","NiP (12)","d2
                      Dust2","StarLadder Major Berlin 2019"
"2585","28/8/19","Natus Vincere (17)","G2 (19)","ovp
                      Overpass","StarLadder Major Berlin 2019"
"2586","28/8/19","FaZe (16)","mousesports (8)","mrg
                      Mirage","StarLadder Major Berlin 2019"
"2587","28/8/19","Vitality (16)","North (9)","inf
                      Inferno","StarLadder Major Berlin 2019"
"2588","28/8/19","CR4ZY (9)","Liquid (16)","mrg
                      Mirage","StarLadder Major Berlin 2019"
"2589","28/8/19","NRG (16)","Renegades (14)","d2
                      Dust2","StarLadder Major Berlin 2019"
"2590","28/8/19","Astralis (16)","DreamEaters (9)","d2
                      Dust2","StarLadder Major Berlin 2019"
"2591","28/8/19","ENCE (16)","AVANGAR (5)","ovp
                      Overpass","StarLadder Major Berlin 2019"
"2592","28/8/19","9z (16)","Agressive (10)","ovp
                      Overpass","Aorus League 2019 #3 Southern Cone"
"2593","28/8/19","WClick (9)","Furious (16)","mrg
                      Mirage","Aorus League 2019 #3 Southern Cone"
"2594","27/8/19","Isurus (16)","RUFUS (10)","mrg
                      Mirage","Brasil Game Show 2019"
"2595","27/8/19","RUFUS (12)","Isurus (16)","ovp
                      Overpass","Brasil Game Show 2019"
"2596","26/8/19","Vitality (16)","Grayhound (10)","inf
                      Inferno","StarLadder Major 2019 Main Qualifier"
"2597","26/8/19","Grayhound (16)","Vitality (14)","ovp
                      Overpass","StarLadder Major 2019 Main Qualifier"
"2598","26/8/19","Vitality (16)","Grayhound (5)","d2
                      Dust2","StarLadder Major 2019 Main Qualifier"
"2599","26/8/19","DreamEaters (16)","forZe (12)","mrg
                      Mirage","StarLadder Major 2019 Main Qualifier"
"2600","26/8/19","forZe (10)","DreamEaters (16)","ovp
                      Overpass","StarLadder Major 2019 Main Qualifier"
"2601","26/8/19","Syman (5)","AVANGAR (16)","d2
                      Dust2","StarLadder Major 2019 Main Qualifier"
"2602","26/8/19","AVANGAR (10)","Syman (16)","mrg
                      Mirage","StarLadder Major 2019 Main Qualifier"
"2603","26/8/19","Syman (10)","AVANGAR (16)","inf
                      Inferno","StarLadder Major 2019 Main Qualifier"
"2604","26/8/19","Vexed (16)","Endpoint (14)","trn
                      Train","Insomnia65"
"2605","26/8/19","Endpoint (16)","Vexed (13)","nuke
                      Nuke","Insomnia65"
"2606","26/8/19","Vexed (16)","Endpoint (10)","ovp
                      Overpass","Insomnia65"
"2607","25/8/19","Atrapa2 (16)","9z (12)","inf
                      Inferno","La Liga Pro Trust 2019 - Apertura"
"2608","25/8/19","9z (14)","Atrapa2 (16)","trn
                      Train","La Liga Pro Trust 2019 - Apertura"
"2609","25/8/19","Peeker's Advantage (16)","Space Shuttle Peekers (7)","inf
                      Inferno","ECS Season 8 North America Pinnacle Cup Open Qualifier 4"
"2610","25/8/19","Space Shuttle Peekers (4)","Peeker's Advantage (16)","trn
                      Train","ECS Season 8 North America Pinnacle Cup Open Qualifier 4"
"2611","25/8/19","Schadenfreude (16)","Defusekids (13)","d2
                      Dust2","GameForce Masters 2019"
"2612","25/8/19","Defusekids (14)","Schadenfreude (16)","mrg
                      Mirage","GameForce Masters 2019"
"2613","25/8/19","Schadenfreude (12)","Defusekids (16)","nuke
                      Nuke","GameForce Masters 2019"
"2614","25/8/19","Oceanus (16)","iNTACT (7)","trn
                      Train","ECS Season 8 North America Pinnacle Cup Open Qualifier 4"
"2615","25/8/19","iNTACT (6)","Oceanus (16)","mrg
                      Mirage","ECS Season 8 North America Pinnacle Cup Open Qualifier 4"
"2616","25/8/19","Furious (6)","Latingamers (16)","d2
                      Dust2","La Liga Pro Trust 2019 - Apertura"
"2617","25/8/19","Latingamers (4)","Furious (16)","mrg
                      Mirage","La Liga Pro Trust 2019 - Apertura"
"2618","25/8/19","Furious (9)","Latingamers (16)","inf
                      Inferno","La Liga Pro Trust 2019 - Apertura"
"2619","25/8/19","London (17)","Endpoint (19)","trn
                      Train","Insomnia65"
"2620","25/8/19","Endpoint (17)","London (19)","d2
                      Dust2","Insomnia65"
"2621","25/8/19","Endpoint (16)","London (2)","ovp
                      Overpass","Insomnia65"
"2622","25/8/19","Peeker's Advantage (16)","Party Astronauts (9)","d2
                      Dust2","ECS Season 8 North America Pinnacle Cup Open Qualifier 4"
"2623","25/8/19","Party Astronauts (14)","Peeker's Advantage (16)","mrg
                      Mirage","ECS Season 8 North America Pinnacle Cup Open Qualifier 4"
"2624","25/8/19","Party Astronauts (16)","Peeker's Advantage (14)","inf
                      Inferno","ECS Season 8 North America Pinnacle Cup Open Qualifier 4"
"2625","25/8/19","imperial (12)","Space Shuttle Peekers (16)","mrg
                      Mirage","ECS Season 8 North America Pinnacle Cup Open Qualifier 4"
"2626","25/8/19","imperial (9)","Space Shuttle Peekers (16)","d2
                      Dust2","ECS Season 8 North America Pinnacle Cup Open Qualifier 4"
"2627","25/8/19","imperial (16)","Space Shuttle Peekers (4)","inf
                      Inferno","ECS Season 8 North America Pinnacle Cup Open Qualifier 4"
"2628","25/8/19","Prospects (11)","iNTACT (16)","nuke
                      Nuke","ECS Season 8 North America Pinnacle Cup Open Qualifier 4"
"2629","25/8/19","Prospects (13)","iNTACT (16)","inf
                      Inferno","ECS Season 8 North America Pinnacle Cup Open Qualifier 4"
"2630","25/8/19","LiviD (8)","Oceanus (16)","mrg
                      Mirage","ECS Season 8 North America Pinnacle Cup Open Qualifier 4"
"2631","25/8/19","LiviD (2)","Oceanus (16)","nuke
                      Nuke","ECS Season 8 North America Pinnacle Cup Open Qualifier 4"
"2632","25/8/19","Defusekids (13)","dizLown (16)","inf
                      Inferno","GameForce Masters 2019"
"2633","25/8/19","dizLown (8)","Defusekids (16)","nuke
                      Nuke","GameForce Masters 2019"
"2634","25/8/19","Defusekids (10)","dizLown (16)","mrg
                      Mirage","GameForce Masters 2019"
"2635","25/8/19","Schadenfreude (16)","One One (10)","mrg
                      Mirage","GameForce Masters 2019"
"2636","25/8/19","HellRaisers (11)","Vitality (16)","mrg
                      Mirage","StarLadder Major 2019 Main Qualifier"
"2637","25/8/19","Vitality (16)","HellRaisers (8)","inf
                      Inferno","StarLadder Major 2019 Main Qualifier"
"2638","25/8/19","CeX (4)","London (16)","ovp
                      Overpass","Insomnia65"
"2639","25/8/19","CeX (10)","London (16)","d2
                      Dust2","Insomnia65"
"2640","25/8/19","CR4ZY (16)","DreamEaters (11)","mrg
                      Mirage","StarLadder Major 2019 Main Qualifier"
"2641","25/8/19","DreamEaters (11)","CR4ZY (16)","d2
                      Dust2","StarLadder Major 2019 Main Qualifier"
"2642","25/8/19","CR4ZY (12)","DreamEaters (16)","inf
                      Inferno","StarLadder Major 2019 Main Qualifier"
"2643","25/8/19","Chaos (16)","Illuminar (7)","mrg
                      Mirage","ECS Season 8 Europe Pinnacle Cup Open Qualifier 4"
"2644","25/8/19","Chaos (9)","Illuminar (16)","nuke
                      Nuke","ECS Season 8 Europe Pinnacle Cup Open Qualifier 4"
"2645","25/8/19","Illuminar (9)","Chaos (16)","ovp
                      Overpass","ECS Season 8 Europe Pinnacle Cup Open Qualifier 4"
"2646","25/8/19","PACT (11)","m1x (16)","inf
                      Inferno","ECS Season 8 Europe Pinnacle Cup Open Qualifier 4"
"2647","25/8/19","PACT (19)","m1x (16)","nuke
                      Nuke","ECS Season 8 Europe Pinnacle Cup Open Qualifier 4"
"2648","25/8/19","PACT (4)","m1x (16)","mrg
                      Mirage","ECS Season 8 Europe Pinnacle Cup Open Qualifier 4"
"2649","25/8/19","Endpoint (10)","Vexed (16)","mrg
                      Mirage","Insomnia65"
"2650","25/8/19","Vexed (16)","Endpoint (13)","trn
                      Train","Insomnia65"
"2651","25/8/19","NRG (16)","AVANGAR (4)","d2
                      Dust2","StarLadder Major 2019 Main Qualifier"
"2652","25/8/19","AVANGAR (8)","NRG (16)","trn
                      Train","StarLadder Major 2019 Main Qualifier"
"2653","25/8/19","Grayhound (16)","Complexity (4)","inf
                      Inferno","StarLadder Major 2019 Main Qualifier"
"2654","25/8/19","Grayhound (16)","Complexity (11)","d2
                      Dust2","StarLadder Major 2019 Main Qualifier"
"2655","25/8/19","One More Time (15)","m1x (19)","d2
                      Dust2","ECS Season 8 Europe Pinnacle Cup Open Qualifier 4"
"2656","25/8/19","m1x (16)","One More Time (1)","ovp
                      Overpass","ECS Season 8 Europe Pinnacle Cup Open Qualifier 4"
"2657","25/8/19","Copenhagen Flames (12)","Illuminar (16)","inf
                      Inferno","ECS Season 8 Europe Pinnacle Cup Open Qualifier 4"
